pair,final_capital_no_model,avg_return_no_model,final_capital_with_model,avg_return_with_model
ETH-SOL,6112.167751844366,-5.60206375814932,8351.095760304806,-4.174441113152385
ETH-SHIB,8291.133530544437,-2.3441241007620737,10000.0,0.0
ETH-LINK,8768.496329068534,-1.648599291742224,9269.519511035742,-1.8081200221887352
ETH-FET,5497.483551223312,-6.720173804144306,10099.56513932106,16.59418988684288
BNB-SOL,7823.114991505331,-3.0403421906350054,9681.030250793696,-1.281003008860635
SOL-SHIB,13458.054205719798,4.666739818785156,10000.0,0.0
XRP-XLM,10069.090335114577,0.178990505478169,9886.844943415415,-56.57752829229253
XRP-RENDER,9361.949647573336,-12.038685894842509,9992.349895570325,-7.650104429673975
ADA-AVAX,7622.564582847805,-3.013226130737863,9504.971981512146,-1.9412863470112014
ADA-LTC,8615.459301381052,-1.8265708425052345,9523.367732006207,-1.9454378285460916
ADA-UNI,6200.76602658169,-4.55543641896677,17920.93787921959,25.551412513611645
ADA-ETC,5398.515621347011,-5.344348871838575,14087.758963078133,17.175457828059336
ADA-RENDER,9951.307828766934,-0.8853122042375398,10451.044885618887,18.793536900786965
ADA-AAVE,9579.506835899529,-0.5191273630869908,19598.222821232303,23.017320914226094
ADA-FIL,7547.706969227658,-2.9403993174728478,18882.805337316393,29.413262706345684
ADA-FTM,11741.65957730056,2.2074265871996985,9517.252707082649,-3.8011597867507625
ADA-HBAR,7352.08401481144,-7.042329747841885,9772.031973947916,-12.664890336226847
ADA-VET,7502.124086714734,-2.918079337950083,5931.783544150066,-7.29071049435475
AVAX-SHIB,9478.356778165822,-0.6845711572626755,10000.0,0.0
AVAX-DOT,12633.429487061167,3.295906742254297,10453.08768767166,8.884072307287582
AVAX-NEAR,11736.340537615346,2.089459130704399,11786.799323196095,7.383468277669781
AVAX-UNI,8275.896244128344,-2.1154647311308508,9799.357496434835,-1.7296767548720746
AVAX-ICP,8355.77589106589,-2.4395016453028475,10317.44508556685,6.754150756741436
AVAX-ETC,8011.262392433846,-2.398959719621404,10629.207686214255,4.766724895562491
AVAX-RENDER,10130.06485613627,2.032263377129145,9976.366317567317,-11.816841216340656
AVAX-IMX,5689.6129496854655,-6.062429044042973,2571.0090613372795,-16.694361659916233
AVAX-FIL,10428.404939353704,0.5186500476437098,10230.152869323188,3.384601019458618
AVAX-FTM,10824.832926279558,1.0108246645582528,5857.886321502755,-9.723271545768156
AVAX-VET,10289.148092198924,0.3660102432897764,8594.035207711771,-5.738631805258078
AVAX-GRT,6919.511704501889,-3.5653799716413355,2492.243655968601,-16.464377947437285
SHIB-UNI,8401.00914828588,-1.9595476123947184,23732.234662806328,32.46391173240278
SHIB-FET,6020.564313704675,-6.09408221484738,12412.231865638669,7.179261504876957
SHIB-FTM,8000.820229199748,-2.5083811427857605,12662.994967033024,6.793354507737304
SHIB-VET,10703.89000043203,0.8636687121865233,15812.517435309841,13.58064821334081
SHIB-GRT,5741.652152171544,-5.149150964726048,20132.31205424817,26.11420632538189
BCH-LINK,9009.417758120879,-1.2305369464336822,5225.168709571068,-9.947565188393629
BCH-UNI,5530.12955377457,-5.25867111320639,2426.026773896459,-16.01262838499692
BCH-FET,5912.355057847894,-6.165376986654767,5675.6880285281695,-19.13412376757446
BCH-XLM,11956.417853034107,2.248756152912783,8240.458071186566,-13.229638562507088
BCH-RENDER,9963.887393467316,-0.6448679737979182,8909.548192566737,-41.94045413204866
BCH-VET,9303.22720929446,-0.8334602759635598,10000.0,0.0
LINK-RENDER,9857.607160790452,-3.095496504555342,9854.962363918181,-11.15674123706302
DOT-RENDER,10053.389167638317,0.9533779935413668,9989.826009098388,-5.086995450805699
DOT-FIL,6037.539151338122,-4.533708064830527,7315.998115277967,-72.54059147897391
DOT-FTM,9521.155855803758,-0.5948374462065266,5687.436469235951,-8.694684537830751
DOT-ATOM,7093.183682118892,-3.575419825192016,11082.3976783033,4.768271710587209
LTC-UNI,4187.309194303169,-7.071400006930434,4221.175614827461,-9.946341454685957
LTC-XLM,7930.7529767705255,-2.5234719795481175,5714.805768947305,-10.821197553163385
LTC-RENDER,10151.14971664346,2.7481766662448464,9992.323520720303,-0.15992665166037753
LTC-AAVE,5496.179243474877,-5.933887689756415,10885.451779842699,7.317783304485104
LTC-FIL,5884.423367173982,-4.911189299315064,4561.16567522986,-10.499680163648893
LTC-FTM,9449.511467786806,-0.7030504881394345,6702.95346264964,-7.812906486612157
LTC-VET,7472.462974915147,-3.078607825925538,10004.794421759376,0.5327135288194738
NEAR-RENDER,10786.54856909789,13.799097703471762,9913.254015872464,-43.37299206376757
NEAR-GRT,6358.557763531399,-4.284049689963061,2630.678304198316,-13.496926182786959
UNI-ICP,5759.96103695289,-6.118382342059351,8700.425786215434,-13.397672307057364
UNI-XLM,17258.722817901926,8.983567843938024,5193.446609738637,-11.55421488043599
UNI-AAVE,7398.352232197238,-3.093516965282713,22951.72600544984,38.66186867298458
UNI-FIL,7677.794922300535,-2.828508011814197,7461.333137773163,-21.698007369460093
UNI-FTM,13859.526319157,4.747264845211575,7619.841276727192,-4.847573774486325
UNI-VET,14014.759570152768,4.625299043954788,3882.845641095669,-13.327133679530116
UNI-GRT,4894.305298973823,-6.144036944676509,1837.4797673060477,-17.367064324880733
ICP-FET,8765.42816681024,-1.8564989972777979,5312.373317354212,-14.20492934135086
ICP-RENDER,9708.820084269995,-5.493960674151107,9916.224339491913,-16.755132101617505
ICP-IMX,11383.095234017257,2.00739511468394,13901.777851773662,33.63601596356605
ICP-GRT,7465.998566264585,-3.6724658459933823,2866.3757082998363,-19.38484861875043
FET-GRT,12224.730715860975,3.002335648935213,10476.843354519593,3.3345689127244413
ETC-RENDER,9069.606507072,-18.243009665254935,9903.09341909392,-32.30219363535986
ETC-AAVE,9404.38660806397,-0.7116050082867951,14214.706030659541,27.01734635038167
ETC-FIL,14374.706400585765,5.289850544843743,10852.634439962989,12.918703635802832
ETC-VET,13857.973080442618,4.3990571042675475,6211.359647902545,-12.300780363952805
XLM-AAVE,6536.312870438069,-4.302716931132832,15854.171574117994,14.454744627451808
XLM-VET,6840.442833867353,-3.7884378490799095,8827.08030702561,-30.07486392242039
RENDER-FIL,10658.52362794862,11.16141742285785,9501.295608012519,-49.870439198748315
RENDER-ARB,9640.732213137262,-6.089284523097285,8843.616009669071,-31.253621360295472
RENDER-HBAR,9823.239960963327,-3.047586879942689,9072.305776979749,-30.923140767341764
RENDER-VET,10238.242932035097,3.905621836640878,9146.994534311676,-27.51630534478466
RENDER-ATOM,10089.720841199956,1.5469110551717338,10077.920509739663,77.92050973966195
RENDER-GRT,9500.368629244369,-7.347520158171069,8489.425722046975,-41.960396609806324
AAVE-VET,9801.53179264408,-0.23998574045453835,10000.0,0.0
IMX-GRT,7026.581754761026,-4.067603618657946,17125.303753167693,26.390013900621096
FIL-FTM,10708.506713008888,0.8404587342928775,6585.016085791747,-6.277543959941636
FIL-VET,11376.586858400302,1.6138181223918924,2594.27894752354,-16.985598744212087
FTM-VET,8526.494261002803,-1.7667934520350315,6005.098836785994,-6.9235722066100704
FTM-GRT,6095.493534084613,-4.790805479650781,6337.4957577634395,-22.469351179365418
HBAR-VET,10667.886257854672,1.5752034383364952,10155.981639929936,3.8044302421936003
VET-GRT,4066.6316564652184,-6.8435621032696465,10045.562060186776,1.1682579535069397
