pair,final_capital_no_model,avg_return_no_model,final_capital_with_model,avg_return_with_model
BTC-ETH,9771.543039839975,-0.32590151235379183,9855.921985507064,-0.32819593278574144
BTC-BNB,9363.529103290877,-0.8852168243520665,9494.2766481506,-1.2395180192387194
BTC-SOL,8480.909881335676,-2.1305611762473067,10021.930936584049,0.06645738358803949
BTC-FET,5456.3169195073515,-7.132940471731,10000.0,0.0
BTC-RENDER,10055.959751352646,0.9648232991835416,10000.0,0.0
ETH-BNB,9678.396267352482,-0.423720332868916,9710.798839623247,-3.9616597311884467
ETH-ICP,6865.321000101242,-4.756720788920737,4521.317704799008,-15.134481478455793
ETH-RENDER,9964.97424524606,-0.5936568602362559,9423.008974789695,-21.370037970752012
ETH-IMX,5217.053593220394,-6.652220315409742,9864.41908839722,-7.975347741339952
ETH-GRT,5703.245048398184,-5.384404701255418,10000.0,0.0
BNB-FET,5628.433172788854,-6.862742271917012,7512.804760699286,-14.545001399419373
BNB-RENDER,10048.13598917165,0.8022664861940605,9383.359018453923,-19.27003067331493
SOL-LINK,14087.869746706532,5.546634663102477,10078.430950374666,0.4559938975271561
SOL-ICP,9304.711699894291,-1.028532988322043,11022.036253218452,4.866839301040209
SOL-FET,5854.407957169509,-6.407406557697818,4517.729840794945,-16.219734198831546
SOL-RENDER,10336.062318786488,6.589457231107676,9547.068303740527,-17.4204498561336
DOGE-BCH,11138.644069498047,1.3333068729484998,26323.337895435685,36.43602208802607
DOGE-SUI,10957.280328304,3.394611093276617,8667.042176564646,-47.605636551262485
DOGE-ETC,6792.6859863614745,-3.738128221023932,17975.63695681491,18.377043679296996
DOGE-RENDER,9574.229149814251,-7.469664038346456,10141.28952266422,70.64476133210908
DOGE-AAVE,12167.469104253543,2.909354502353731,14613.30184538155,11.679245178181134
DOGE-VET,9980.05678363509,-0.02496022073204926,11117.84769110145,18.029801469378178
ADA-DOT,9731.326606516632,-0.31871102429819004,17620.083013154006,19.488703358450145
ADA-NEAR,5727.718934222125,-5.2874765665567605,10411.724189833692,3.3473511368593547
ADA-XLM,11099.987198790128,1.3284869550605447,10741.585486413593,37.079274320679744
ADA-ATOM,9061.838750629006,-1.2058627883946031,10879.773278732444,5.498582992077795
ADA-GRT,4081.6617980812434,-7.243988007244508,6797.4051305234925,-26.250777618659832
AVAX-LTC,9723.00094793843,-0.37533746891811154,9828.16214842417,-0.777546839709667
AVAX-FET,7098.19492768699,-4.41675049058299,5269.749027006992,-13.671245586684968
AVAX-AAVE,11628.826939653009,2.028427073042382,11606.412829977986,9.795200182792628
AVAX-ATOM,14251.834932311787,5.536243401447642,12015.447885263357,30.537089170657044
SHIB-ICP,7348.032865247911,-3.993926407759184,18772.804909236107,26.993245874572665
SHIB-RENDER,9787.265858133207,-3.6678300321861648,10378.32171210611,14.550835081004454
BCH-LTC,15379.800624456602,6.42747983806043,11343.189102962579,37.31080841562719
BCH-AAVE,6295.089615192372,-4.625356285652487,7517.103015712086,-20.186154343804233
LINK-UNI,9292.075003177382,-0.8729038185236063,8485.100304620566,-19.421790966403062
LINK-ICP,5145.232450601437,-7.202919212757514,6051.021794288743,-54.846919523767404
LINK-FET,6880.556263711061,-4.6838494538872855,5154.054289775086,-13.885231261389432
LINK-IMX,9071.004661427132,-1.2337255492335488,12089.035654846923,5.8028768190192155
LINK-GRT,5977.284586341363,-4.923764276203967,2869.9831926169763,-15.915216087908536
DOT-LTC,9071.576176052222,-1.2378984319304187,10588.950565028823,2.527684828449883
DOT-NEAR,8445.39394982935,-1.8595766150367175,8729.503046376303,-16.28842248235506
DOT-UNI,6564.001296170848,-4.231525497326521,8391.597429955744,-25.131290156941592
DOT-AAVE,9295.855765254919,-0.8879498546596146,18105.640590805215,26.317014905211817
DOT-HBAR,7245.311774200499,-6.6059669683441244,5087.235539009478,-21.83450871551339
DOT-VET,9155.710338859717,-0.9749303246423626,4292.467147726231,-12.912970254013041
DOT-GRT,4535.4565587831685,-6.575864550200767,2281.034495626956,-16.671631758905065
NEAR-ICP,9760.675260259717,-0.3468474488989448,17273.348980789797,22.379535325507064
NEAR-FET,7009.938007682309,-4.241222684138559,6990.438434465467,-20.063743770230168
NEAR-AAVE,8230.00371140602,-2.2292144692619384,13933.87059805371,17.720137829070733
NEAR-FIL,8468.763146252857,-1.8811263559547038,12462.504971033964,7.792737250107454
NEAR-FTM,13168.421115650799,3.740756925207556,12443.254589550343,7.78106557181639
